dev-flo, dev.music-flo.io., _c17782c49639c46d587899e6138ffb3c.dev.music-flo.io., CNAME, _5dea42cd8d83ea9d1daa044724cb0e26.nhqijqilxf.acm-validations.aws., true
dev-flo, dev.music-flo.io., _a38d7d31ac73b1998e6a967cb5a8faab.api.dev.music-flo.io., CNAME, _7272cec45f696a281c5d8a42794f5ed6.nhqijqilxf.acm-validations.aws., true
dev-flo, dev.music-flo.io., backend.dev.music-flo.io., A, 10.180.194.69, true
dev-flo, dev.music-flo.io., redis.cache.dev.music-flo.io., CNAME, redis-cache-dev-music-flo-io.pe83rx.clustercfg.apn2.cache.amazonaws.com, true
dev-flo, dev.music-flo.io., dooly-argocd.dev.music-flo.io., CNAME, internal-k8s-doolyhel-doolyhel-9d0176e1b3-215000993.ap-northeast-2.elb.amazonaws.com, true
dev-flo, dev.music-flo.io., emr.dev.music-flo.io., A, 10.180.196.188, true
dev-flo, dev.music-flo.io., flo-reco.dev.music-flo.io., A, 10.180.194.242, true
dev-flo, dev.music-flo.io., flo-text-to-sql.dev.music-flo.io., A, 10.180.195.149, true
dev-flo, dev.music-flo.io., kafka.dev.music-flo.io., A, 10.180.195.120, true
dev-flo, dev.music-flo.io., nfs.dev.music-flo.io., CNAME, fs-aa1198ca.efs.ap-northeast-2.amazonaws.com, true
dev-flo, dev.music-flo.io., emr.poc.dev.music-flo.io., A, 10.180.196.78, true
dev-flo, dev.music-flo.io., trino-masked.dev.music-flo.io., A, 10.180.196.98, true
dev-flo, dev.music-flo.io., trino.dev.music-flo.io., A, 10.180.196.131, true
dev-flo, qa01.music-flo.com., _423fdf4023557e3a077ffd813500ec3e.qa01.music-flo.com., CNAME, _6b055e5403c3978d4ed4bf2e0cac1cb0.wmmlzlpmyg.acm-validations.aws., true
dev-flo, qa01.music-flo.com., _7ec32acb8f770a5a6a0f124dd5e50210.qa01.music-flo.com., CNAME, _6074244dbf88bbbfa3e10b9ae140b0b9.bdvkfdzfbg.acm-validations.aws., true
dev-flo, qa01.music-flo.com., _8339727fda38782d0b75bc6a081c51ce.api.qa01.music-flo.com., CNAME, _35aac64ce95e344c34068981cf039ca7.bdvkfdzfbg.acm-validations.aws., true
dev-flo, qa01.music-flo.com., mcp.cache.qa01.music-flo.com., CNAME, mcp-cache-qa01-music-flo-com.pe83rx.ng.0001.apn2.cache.amazonaws.com, true
